listing_id,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30
924219944797106507,1250.0,0.0,f,4.71,5.286658858414812,Both,6.56,t,7.0,t,7
924249164519807112,6877.0,0.0,f,4.83,3.855206085764145,Both,3.05,t,7.0,t,5
924279166055153185,2090.0,0.0,f,4.38,3.855206085764145,Both,3.38,t,7.0,t,0
924361509273453632,1739.0,0.0,f,4.7,490.1572443129741,only identity,4.11,t,7.0,t,29
924403305511155144,2660.0,1.0,f,5.0,5.647773904731127,Both,3.08,t,8.0,t,0
924422068044383635,4052.0,0.0,f,3.67,5.973202765973969,Both,1.61,t,8.0,t,18
924437066815593622,2000.0,0.0,f,4.38,488.051470834979,Both,5.13,t,8.0,t,4
924461457655453713,3200.0,0.0,f,0.0,3.1742847596468065,Both,1.43,f,8.0,t,0
924484326792266825,1473.0,0.0,f,4.78,3.1742847596468065,Both,3.51,f,7.0,t,1
924547464839547985,2898.0,0.0,f,4.38,73.0207332285366,Both,3.12,t,7.0,t,6
924561177986743782,2800.0,0.0,f,4.0,73.0207332285366,Both,3.8,t,8.0,t,16
924608691766477113,3684.0,0.0,f,0.0,1.6796561374309336,only identity,0.0,t,0.0,t,0
924685994670776451,1200.0,0.0,f,4.33,488.051470834979,Both,2.05,t,8.0,t,0
924691034388271494,1200.0,0.0,f,0.0,488.051470834979,Both,1.46,t,8.0,t,0
924695673160953738,1200.0,0.0,f,5.0,488.051470834979,Both,1.32,t,8.0,t,0
924699774899004141,1000.0,0.0,f,4.0,488.051470834979,Both,1.69,t,8.0,t,0
924703411255353083,1100.0,0.0,f,3.8,488.051470834979,Both,2.14,t,8.0,t,0
924707089620173702,1200.0,0.0,f,3.33,488.051470834979,Both,2.2,t,8.0,t,0
924712580930776011,16570.0,0.0,f,4.2,488.051470834979,Both,2.38,f,8.0,t,15
924794347135778322,22963.0,0.0,f,0.0,483.299372936291,Both,1.43,f,8.0,t,0
924814925661616656,14932.0,0.0,f,5.0,483.299372936291,Both,1.67,f,7.0,t,15
925043476132803369,639.0,0.0,f,4.0,414.1752556119177,Both,2.65,f,7.0,t,8
925065380591248995,2070.0,0.0,t,4.81,1.6796561374309336,Both,6.76,f,7.0,t,5
925108307518072082,1950.0,0.0,t,0.0,488.051470834979,Both,1.0,t,9.0,t,3
925184860804570615,2450.0,0.0,f,5.0,1.6796561374309336,Both,7.18,f,7.0,t,1
925188396574182701,11494.0,0.0,f,4.88,3.855206085764145,Both,3.81,f,7.0,t,8
925255259796057788,3281.0,0.0,t,4.63,488.051470834979,Both,3.53,t,8.0,t,13
925261833314235447,1800.0,0.0,f,4.8,488.051470834979,only identity,5.56,t,7.0,t,14
925276616635203172,2750.0,0.0,t,5.0,3.855206085764145,Both,3.5,t,8.0,t,7
925375354166422743,1297.0,0.0,f,4.93,1.6796561374309336,Both,6.34,f,7.0,t,2
925383668448957439,2600.0,0.0,f,0.0,5.973202765973969,Both,0.7,f,8.0,t,23
925425681423080315,1800.0,0.0,f,0.0,490.1572443129741,Both,1.0,t,8.0,t,11
925447877885609216,1790.0,0.0,t,0.0,7.997025397482145,Both,0.61,t,9.0,t,6
925448411870335409,2200.0,0.0,f,5.0,5.647773904731127,Both,4.29,f,7.0,t,21
925758014055693734,2996.0,0.0,f,0.0,5.973202765973969,Both,0.0,t,0.0,t,11
925912533183121374,1598.0,0.0,f,4.5,414.2062555734947,Both,3.75,f,7.0,t,0
925923464544785560,1990.0,1.0,f,5.0,3.855206085764145,Both,1.41,f,7.0,t,16
925956653441562772,2090.0,1.0,f,5.0,3.855206085764145,Both,4.38,f,7.0,t,7
925987053881912959,1900.0,1.0,f,4.33,3.8180694127366808,Both,3.91,f,8.0,t,22
925996844108217674,2579.0,0.0,t,5.0,3.855206085764145,Both,3.53,t,7.0,t,10
925997500122516448,1277.0,0.0,t,5.0,490.1572443129741,Both,2.4,t,7.0,t,2
926112632916089589,859.0,0.0,f,4.21,488.051470834979,Both,5.53,t,8.0,t,16
926204357795803743,4175.0,0.0,t,4.75,492.21909671057836,Both,4.36,t,7.0,t,7
926445894806158111,6877.0,0.0,f,4.67,3.855206085764145,Both,3.91,t,7.0,t,3
926773172397178107,1547.0,0.0,f,4.33,2162.993385383931,Both,4.5,t,7.0,t,7
926801766208537553,958.0,0.0,f,4.8,488.051470834979,Both,2.31,t,8.0,t,20
926845429948909714,1203.0,0.0,f,4.33,488.051470834979,Both,1.3,t,7.0,t,21
926868614388618740,958.0,0.0,f,5.0,488.051470834979,Both,2.17,t,8.0,t,11
927225048548150909,2500.0,0.0,f,4.7,490.1572443129741,only identity,4.55,f,7.0,t,4
927229877143998099,2947.0,0.0,f,0.0,5.973202765973969,Both,0.0,t,0.0,t,12
927287199802754306,1023.0,0.0,f,4.5,488.051470834979,Both,4.53,t,8.0,t,14
927313838129492400,2652.0,0.0,f,4.92,488.24500183806487,Both,6.39,f,7.0,t,4
927326384498020817,1100.0,0.0,t,4.6,488.051470834979,only identity,10.42,t,7.0,t,7
927366466633379643,7348.0,0.0,f,4.96,5.647773904731127,Both,11.13,t,7.0,t,8
927410946903957079,958.0,0.0,f,4.33,488.051470834979,Both,1.48,t,7.0,t,9
927440829262688717,950.0,3.0,f,0.0,490.1572443129741,Both,0.0,f,0.0,t,14
927463636681830869,6213.0,0.0,f,0.0,1.6796561374309336,Both,1.22,t,8.0,t,14
927471431815189755,1999.0,0.0,f,0.0,141.65663273746685,Both,1.05,t,8.0,t,28
927474472871968075,3599.0,0.0,t,0.0,488.24500183806487,Both,0.0,t,0.0,t,10
927502744099985733,1746.0,0.0,t,4.25,488.24500183806487,Both,1.94,t,7.0,t,7
927553401306584734,1560.0,0.0,t,4.91,3.855206085764145,Both,4.58,f,7.0,t,3
927554844857420786,2360.0,0.0,f,5.0,27.127305682536967,Both,3.68,t,7.0,t,9
927600896257736029,1750.0,0.0,f,5.0,1039.4383031670552,Both,3.21,f,7.0,t,5
927649135395250137,2000.0,0.0,f,4.59,490.1572443129741,only identity,6.99,t,7.0,t,3
927650098005974494,321.0,0.0,f,5.0,13.28209148899372,Both,1.43,f,9.0,t,0
927665236032738872,2300.0,0.0,f,4.67,483.299372936291,Both,3.0,f,7.0,t,4
927684933083464345,7073.0,0.0,t,4.8,3.855206085764145,Both,2.27,f,8.0,t,5
927869312229130538,3000.0,0.0,t,4.89,3.855206085764145,Both,7.81,f,7.0,t,2
927917268643970725,4033.0,0.0,t,3.71,3.855206085764145,Both,3.89,t,8.0,t,14
927928965957995339,1250.0,0.0,f,4.95,5.286658858414812,Both,10.0,f,7.0,t,0
928010022135556545,2346.0,0.0,t,0.0,489.8628758611649,Both,1.18,t,8.0,t,19
928030447659384254,11843.0,0.0,t,4.67,489.8628758611649,Both,2.5,t,7.0,t,2
928060548429956560,2186.0,0.0,t,0.0,1.6796561374309336,Both,0.79,t,8.0,t,22
928120012223773326,1000.0,0.0,f,4.53,488.24500183806487,Both,7.18,t,7.0,t,13
928130814946141081,1520.0,0.0,f,4.6,3.1742847596468065,Both,2.88,t,8.0,t,4
928157844992954173,1730.0,0.0,f,0.0,3.1742847596468065,Both,1.76,f,8.0,t,0
928231815196114089,899.0,2.0,f,5.0,492.21909671057836,Both,5.9,t,7.0,t,9
928233598178713702,1000.0,0.0,f,3.91,488.24500183806487,Both,4.58,t,7.0,t,0
928256438111661589,2000.0,0.0,f,4.09,488.051470834979,Both,4.78,t,8.0,t,8
928329386858787425,1200.0,0.0,t,4.31,488.051470834979,only identity,5.49,t,7.0,t,12
928350763418112933,1200.0,0.0,t,4.58,488.051470834979,only identity,10.0,t,7.0,t,2
928486808777921636,1968.0,3.0,f,0.0,7.890536552776239,Both,0.0,f,0.0,t,29
928592141569714337,1550.0,0.0,f,4.56,1.6796561374309336,Both,3.91,t,8.0,t,12
928628280678712866,2300.0,0.0,f,4.92,488.051470834979,Both,6.29,t,7.0,t,5
928723438641691847,1958.0,0.0,f,4.83,490.1572443129741,only identity,3.0,t,7.0,t,30
929010987342225296,2947.0,0.0,f,5.0,4.779680037529501,Both,2.5,t,7.0,t,13
929052910626446576,1100.0,0.0,t,4.56,488.051470834979,only identity,7.27,t,7.0,t,7
929074320453152403,1698.0,0.0,f,4.0,483.299372936291,Both,1.76,f,7.0,t,26
929325950397327935,1719.0,0.0,f,5.0,5.286658858414812,Both,2.26,t,7.0,t,19
929458167262916148,1100.0,0.0,t,4.7,488.051470834979,only identity,8.82,t,7.0,t,5
929510245670456522,2530.0,0.0,f,0.0,488.24500183806487,Both,1.0,f,8.0,t,29
929516863572983194,1500.0,0.0,f,4.6,1.6796561374309336,Both,2.54,t,8.0,t,6
929520854885299475,1630.0,0.0,f,4.83,1.6796561374309336,Both,2.77,t,7.0,t,8
929545937546900631,1311453.0,0.0,f,4.85,3.1742847596468065,Both,8.7,t,7.0,t,2
929637106646550740,3438.0,0.0,f,4.67,3.855206085764145,Both,4.09,t,7.0,t,5
929638362559486705,1100.0,0.0,t,4.5,488.051470834979,only identity,7.27,t,7.0,t,4
929679047901463553,3193.0,0.0,f,0.0,488.24500183806487,Both,0.0,f,0.0,t,18
930058128300759174,1500.0,0.0,f,4.88,490.1572443129741,Both,4.8,t,7.0,t,6
930063736060864443,6500.0,0.0,f,5.0,488.24500183806487,Both,4.09,t,7.0,t,11
930074830392674360,4100.0,0.0,f,0.0,488.051470834979,only identity,0.91,f,8.0,t,5
930126665688454630,11085.0,0.0,f,0.0,5.286658858414812,Both,0.94,t,8.0,t,5
930172354228499481,3438.0,0.0,f,4.71,3.855206085764145,Both,3.56,t,7.0,t,6
930194444190014077,1227.0,0.0,f,4.85,485.80296557377693,Both,9.23,f,7.0,t,15
930260779299200709,3782.0,0.0,t,0.0,1.6796561374309336,Both,0.0,t,0.0,t,8
930277177873599459,2677.0,0.0,t,0.0,1.6796561374309336,Both,0.0,t,0.0,t,19
930278226103937608,610.0,0.0,f,4.69,485.80296557377693,Both,7.16,t,7.0,t,7
930284245381229965,850.0,0.0,f,4.93,485.80296557377693,Both,7.0,t,7.0,t,14
930285644586729985,2800.0,0.0,t,0.0,1.6796561374309336,Both,0.0,t,0.0,t,21
930289510052136511,1040.0,0.0,f,5.0,485.80296557377693,Both,8.14,t,7.0,t,7
930290892550864013,2431.0,0.0,t,0.0,1.6796561374309336,Both,0.0,t,0.0,t,20
930305443240026680,2600.0,0.0,t,0.0,3.1742847596468065,Both,0.0,t,0.0,t,24
930308977419339353,1030.0,0.0,f,4.94,485.80296557377693,Both,8.44,t,7.0,t,11
930313121264489382,850.0,0.0,f,5.0,485.80296557377693,Both,12.58,t,7.0,t,19
930344197045218031,1500.0,0.0,f,4.64,5.973202765973969,Both,6.6,t,7.0,t,2
930345564765705564,9578.0,0.0,f,0.0,3.855206085764145,Both,0.0,t,0.0,t,11
930388297286832680,1563.0,3.0,f,0.0,7.890536552776239,Both,0.0,t,0.0,t,0
930425472001495986,1629.0,3.0,f,0.0,7.890536552776239,Both,0.0,t,0.0,t,0
930492289488965227,5555.0,0.0,f,5.0,3.855206085764145,Both,1.55,f,8.0,t,6
930560010279125336,2600.0,0.0,f,0.0,3.855206085764145,Both,2.0,t,7.0,t,11
930560023064927956,1041.0,0.0,f,0.0,3.1742847596468065,Both,0.0,t,0.0,t,20
930937468519836513,2100.0,0.0,t,5.0,3.855206085764145,Both,5.41,t,7.0,t,12
930937599685284572,1740.0,0.0,f,0.0,1.6796561374309336,Both,0.86,t,8.0,t,13
930995462704896507,3600.0,0.0,f,5.0,488.051470834979,only identity,4.03,t,7.0,t,9
931024354897487715,1780.0,1.0,f,0.0,3.8180694127366808,Both,1.43,f,8.0,t,11
931067362680928790,700.0,0.0,f,4.6,489.8628758611649,only identity,2.59,f,8.0,t,0
931223223324164441,3250.0,0.0,f,0.0,678.2763429582799,Both,1.0,f,8.0,t,30
931546939725926582,1060.0,1.0,f,0.0,5.286658858414812,Both,0.0,t,0.0,t,3
931554877614512157,2490.0,0.0,f,0.0,490.35850050013653,Both,0.0,t,0.0,t,22
931558648877179596,780.0,1.0,f,0.0,1.234721465780256,Both,0.0,f,0.0,t,0
931574993421304285,3390.0,0.0,f,4.67,488.051470834979,Both,2.25,f,8.0,t,9
931609884722011852,3000.0,0.0,f,5.0,488.051470834979,only identity,3.18,t,7.0,t,11
931663802613295830,5624.0,0.0,f,5.0,3.855206085764145,Both,4.0,f,7.0,t,5
931748968643382030,2200.0,1.0,f,5.0,3.855206085764145,Both,4.0,t,7.0,t,18
931828667104538569,1600.0,0.0,t,5.0,3.1742847596468065,Both,2.86,f,7.0,t,3
931920500742888219,2200.0,0.0,t,5.0,3.855206085764145,Both,3.68,f,7.0,t,15
932225440769700053,2700.0,0.0,f,4.8,489.8628758611649,only identity,2.54,t,7.0,t,19
932290096101711669,7368.0,0.0,f,0.0,3.855206085764145,Both,0.0,t,0.0,t,0
932351796006612772,1600.0,0.0,f,4.63,483.299372936291,Both,7.16,f,7.0,t,16
932382095287490890,1800.0,1.0,f,0.0,490.35850050013653,Both,0.88,f,8.0,t,23
932449210973352187,4273.0,0.0,f,4.86,1.6796561374309336,Both,4.29,f,7.0,t,15
932483484283847383,6528.0,0.0,f,4.5,3.855206085764145,Both,3.16,t,7.0,t,9
932532120718977774,1990.0,0.0,t,4.86,1.6796561374309336,Both,3.33,f,7.0,t,22
932568102048356439,1000.0,0.0,f,3.83,1.6796561374309336,Both,2.95,t,8.0,t,0
932598663331823077,1500.0,0.0,t,0.0,3.1742847596468065,Both,1.43,t,7.0,t,14
933028526075886414,2505.0,0.0,f,0.0,1.6796561374309336,Both,0.0,t,0.0,t,18
933124901155243020,2040.0,0.0,f,4.6,1.6796561374309336,Both,2.42,t,7.0,t,2
933154905736081696,1474.0,0.0,t,0.0,1.6796561374309336,Both,0.0,t,0.0,t,0
933183706111944915,1277.0,0.0,t,0.0,1.6796561374309336,Both,0.0,t,0.0,t,0
933201593827862586,1840.0,3.0,f,0.0,3.8180694127366808,Both,0.0,f,0.0,t,0
933226009026118047,1500.0,1.0,f,5.0,4.779680037529501,Both,3.21,f,7.0,t,16
933364244927824222,3836.0,0.0,f,4.92,490.35850050013653,Both,6.55,t,7.0,t,0
933739877569877674,2200.0,0.0,t,0.0,1.234721465780256,Both,0.0,t,0.0,t,0
933806024863617070,1300.0,0.0,f,4.8,1.6796561374309336,Both,5.0,t,7.0,t,6
933877512658838060,5690.0,0.0,f,0.0,488.051470834979,Both,0.0,t,0.0,t,7
933877617401419296,7225.0,0.0,f,0.0,488.051470834979,Both,1.33,t,8.0,t,17
933894925396326615,1800.0,0.0,f,5.0,483.299372936291,only identity,2.67,t,8.0,t,0
933898426772513988,1520.0,0.0,f,4.86,4.779680037529501,Both,4.57,f,7.0,t,5
933907712401392626,9200.0,0.0,t,4.7,3.855206085764145,Both,6.52,t,7.0,t,6
934008348582018474,1620.0,0.0,f,5.0,3.855206085764145,Both,5.0,t,7.0,t,13
934049047793668475,1799.0,2.0,f,0.0,3.1742847596468065,Both,0.73,f,8.0,t,23
934114611099527828,680.0,0.0,f,3.83,488.24500183806487,Both,2.95,t,8.0,t,0
934147509507333441,1999.0,1.0,f,0.0,490.35850050013653,Both,0.0,f,0.0,t,1
