listing_id,accommodates,bathrooms_numeric,beds,amenities_num,neighbourhood_cleansed_Praha 1,neighbourhood_cleansed_Praha 10,neighbourhood_cleansed_Praha 11,neighbourhood_cleansed_Praha 12,neighbourhood_cleansed_Praha 13,neighbourhood_cleansed_Praha 14,neighbourhood_cleansed_Praha 15,neighbourhood_cleansed_Praha 16,neighbourhood_cleansed_Praha 17,neighbourhood_cleansed_Praha 18,neighbourhood_cleansed_Praha 19,neighbourhood_cleansed_Praha 2,neighbourhood_cleansed_Praha 20,neighbourhood_cleansed_Praha 21,neighbourhood_cleansed_Praha 22,neighbourhood_cleansed_Praha 3,neighbourhood_cleansed_Praha 4,neighbourhood_cleansed_Praha 5,neighbourhood_cleansed_Praha 6,neighbourhood_cleansed_Praha 7,neighbourhood_cleansed_Praha 8,neighbourhood_cleansed_Praha 9,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathrooms_shared_0,bathrooms_shared_1
696261,4,1.0,4.0,99,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
696837,4,1.0,2.0,1126,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
699944,4,1.5,3.0,377,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
701644,3,1.0,1.0,215,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
701691,9,1.0,9.0,163,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
706726,2,1.0,1.0,351,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
707963,4,1.0,2.0,635,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
708571,2,1.0,2.0,463,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
711288,6,1.0,1.0,266,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
733462,2,1.5,1.0,1115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
735375,2,1.0,1.0,349,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
747785,4,1.0,2.0,494,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
747830,6,1.0,1.0,345,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
757660,2,1.0,1.0,96,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
777881,5,2.0,5.0,213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
780659,4,2.0,3.0,184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
780866,3,1.0,4.0,653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
782440,2,1.0,2.0,516,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
782489,2,1.0,3.0,526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
782770,2,1.0,1.0,540,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
790196,4,1.5,2.0,1060,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
797201,2,1.0,1.0,937,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
814677,6,1.0,3.0,517,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
814687,6,1.0,2.0,519,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
814691,8,2.0,4.0,522,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
814705,14,3.0,6.0,522,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
818015,3,1.0,2.0,169,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
818081,3,1.0,2.0,278,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
820954,5,1.5,4.0,790,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
822456,9,1.0,9.0,324,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
822938,4,1.0,2.0,503,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
823030,4,1.0,2.0,478,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
843670,6,1.5,5.0,680,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
847192,6,1.0,2.0,153,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
855669,4,1.0,2.0,370,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
874150,2,1.0,2.0,282,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
874212,3,1.0,4.0,633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
874482,5,1.5,6.0,812,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
