listing_id,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num
2509362,Praha 1,Entire home/apt,4,1.0,2.0,0,889
2512075,Praha 1,Entire home/apt,6,1.0,3.0,0,446
2549188,Praha 1,Entire home/apt,7,1.0,6.0,0,993
2559541,Praha 1,Entire home/apt,5,1.5,6.0,0,97
2559949,Praha 1,Entire home/apt,11,3.0,12.0,0,461
2562920,Praha 1,Entire home/apt,6,2.0,3.0,0,368
2571177,Praha 3,Private room,2,1.0,1.0,1,351
2579285,Praha 1,Entire home/apt,3,1.0,1.0,0,338
2631883,Praha 1,Hotel room,2,1.0,2.0,0,399
2649626,Praha 1,Hotel room,2,1.0,2.0,0,398
2655321,Praha 7,Entire home/apt,4,1.0,2.0,0,824
2656156,Praha 1,Hotel room,4,1.0,4.0,0,419
2656812,Praha 1,Hotel room,4,1.0,4.0,0,419
2684495,Praha 13,Entire home/apt,2,1.0,1.0,0,398
2732357,Praha 1,Entire home/apt,3,1.5,2.0,0,1127
2742105,Praha 2,Entire home/apt,4,1.0,2.0,0,742
2742534,Praha 1,Entire home/apt,2,1.0,1.0,0,790
2755006,Praha 13,Entire home/apt,9,4.0,9.0,0,332
2765731,Praha 10,Entire home/apt,6,1.5,2.0,0,687
2791863,Praha 2,Entire home/apt,4,1.0,2.0,0,1043
2808684,Praha 1,Entire home/apt,5,1.0,4.0,0,1056
2809171,Praha 2,Entire home/apt,4,1.0,2.0,0,1010
2819465,Praha 3,Entire home/apt,3,1.0,2.0,0,92
2822732,Praha 3,Entire home/apt,6,1.0,8.0,0,801
2839680,Praha 3,Private room,2,2.0,1.0,0,356
2840293,Praha 2,Entire home/apt,4,1.0,2.0,0,468
2848689,Praha 1,Entire home/apt,4,1.0,2.0,0,344
2869082,Praha 5,Entire home/apt,4,1.0,1.0,0,778
2879186,Praha 9,Entire home/apt,5,2.5,3.0,0,478
2881880,Praha 1,Entire home/apt,6,2.0,4.0,0,1047
2900343,Praha 8,Private room,2,1.0,2.0,0,391
2903482,Praha 1,Entire home/apt,3,1.0,2.0,0,299
2911128,Praha 8,Private room,2,1.0,2.0,0,355
2939716,Praha 3,Entire home/apt,7,1.0,4.0,0,511
2945119,Praha 1,Entire home/apt,6,1.0,5.0,0,342
2947360,Praha 13,Private room,3,1.0,2.0,0,169
2949180,Praha 1,Entire home/apt,4,1.0,1.0,0,914
2974558,Praha 1,Entire home/apt,6,2.0,3.0,0,912
2995655,Praha 7,Entire home/apt,5,1.0,3.0,0,338
3030736,Praha 3,Entire home/apt,4,1.0,1.0,0,541
3048217,Praha 3,Entire home/apt,2,1.0,2.0,0,385
3072283,Praha 10,Entire home/apt,4,1.0,3.0,0,1140
3082194,Praha 5,Entire home/apt,2,1.0,1.0,0,331
3119260,Praha 1,Entire home/apt,6,2.0,3.0,0,96
3135883,Praha 1,Entire home/apt,6,1.0,2.0,0,847
