listing_id,date,price,minimum_nights,maximum_nights,in_season,weekend,new_year,busy,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30,sentiment_score
589045744824205312,2024-09-13,2894.0,3,1125,0,1,0,0.5342465753424658,Praha 3,Entire home/apt,2,1.0,1.0,0,636,1100.0,0.0,t,4.89,490.1572443129741,Both,4.7,t,7.0,t,13,0.6587269254672674
927665236032738872,2024-09-13,2300.0,1,1125,0,1,0,0.989041095890411,Praha 5,Entire home/apt,4,1.0,2.0,0,467,2300.0,0.0,f,4.67,483.299372936291,Both,3.0,f,7.0,t,4,0.5967268447081248
932351796006612772,2024-09-13,1600.0,1,365,0,1,0,0.3780821917808219,Praha 5,Entire home/apt,4,1.0,2.0,0,485,1600.0,0.0,f,4.63,483.299372936291,Both,7.16,f,7.0,t,16,0.5330281928181648
36096284,2024-09-13,49118.0,1,1125,0,1,0,0.0,Praha 3,Hotel room,6,1.0,2.0,0,172,49118.0,0.0,f,0.0,3.1742847596468065,Both,0.0,t,0.0,t,30,
40980697,2024-09-13,4421.0,15,60,0,1,0,0.7534246575342466,Praha 17,Entire home/apt,2,1.0,1.0,0,85,4421.0,0.0,f,0.0,481.2239560523229,Both,0.0,f,0.0,t,30,
935299624394199235,2024-09-13,1965.0,2,365,0,1,0,0.3534246575342465,Praha 1,Entire home/apt,2,1.0,2.0,0,236,1965.0,0.0,f,0.0,488.051470834979,only identity,0.0,f,0.0,t,7,
948463321829396052,2024-09-13,14132.0,5,365,0,1,0,0.1698630136986301,Praha 8,Entire home/apt,9,1.0,5.0,0,184,16626.0,0.0,f,0.0,5.286658858414812,Both,0.0,t,0.0,t,5,
852135160101620541,2024-09-13,3564.0,3,1125,0,1,0,0.2465753424657534,Praha 5,Entire home/apt,4,1.0,2.0,0,707,2156.0,0.0,f,4.88,5.973202765973969,Both,5.22,t,8.0,t,0,0.6315606286128362
26298622,2024-09-13,1100.0,2,60,0,1,0,0.7698630136986301,Praha 13,Entire home/apt,4,1.0,2.0,0,586,1100.0,0.0,t,4.97,414.2062555734947,Both,1.03,f,29.0,t,24,0.6230362518690526
25608435,2024-09-13,1719.0,2,30,0,1,0,0.1808219178082191,Praha 2,Entire home/apt,4,1.0,4.0,0,284,1596.0,0.0,t,4.85,1.6796561374309336,Both,4.45,f,8.0,t,8,0.6642877190679937
